Year,State,CO2,Energy,EnergyPrice,GDP
1997,Alabama,134.1,1956297,17490,144501.2
1998,Alabama,133.5,1997696,17490,149568.2
1999,Alabama,135.85,2040647,17490,154900.2
2000,Alabama,142.3,2093922,17490,157221.3
2001,Alabama,133.31,1898857,17490,156853.2
2002,Alabama,138.3,1960152,17490,160422.4
2003,Alabama,139.8,1952741,17490,165134.7
2004,Alabama,142,2065880,17490,176625
2005,Alabama,143.5,2065572,17490,184369.5
2006,Alabama,145.8,2083658,17490,187270.8
2007,Alabama,147.3,2086092,17490,189002.5
2008,Alabama,139.4,2002980,17490,186946.7
2009,Alabama,119.8,1800096,17490,180707.2
2010,Alabama,132.5,1942188,17490,184702.4
2011,Alabama,129.5,1917001,17490,187605.8
2012,Alabama,122.6,1890836,17490,189245.5
2013,Alabama,120.5,1931830,17490,191369.8
2014,Alabama,122.6,1967782,17490,189886.3
2015,Alabama,119.2,1917138,17490,191335.2
2016,Alabama,114,1922727,17490,194283.8
2017,Alabama,108.6,1904206,17490,196974.9
2018,Alabama,112.4,1956413,17490,200372.6
2019,Alabama,106.3,1926332,17490,203432.7
1997,Alaska,41.2,708741,20250,42211.3
1998,Alaska,42.2,723206,20250,41095.9
1999,Alaska,42.86,725331,20250,40590.5
2000,Alaska,43.6,742061,20250,39406.6
2001,Alaska,42.55,735745,20250,40958.7
2002,Alaska,42.7,732909,20250,42979
2003,Alaska,42.9,733471,20250,42355.3
2004,Alaska,46.2,775019,20250,44055
2005,Alaska,47.5,797723,20250,45657.1
2006,Alaska,45.4,746457,20250,49190.2
2007,Alaska,43.7,723227,20250,51721
2008,Alaska,39.1,650500,20250,51252.1
2009,Alaska,37.3,639557,20250,56215.1
2010,Alaska,37.1,639266,20250,54601.5
2011,Alaska,37.1,641027,20250,55280.3
2012,Alaska,36.2,631311,20250,58283.6
2013,Alaska,34,597944,20250,55354.3
2014,Alaska,33.9,596523,20250,54188.2
2015,Alaska,35,614242,20250,54740.8
2016,Alaska,33.4,593662,20250,54246.6
2017,Alaska,33.7,601492,20250,54278.7
2018,Alaska,34.5,604644,20250,53327
2019,Alaska,34.3,605689,20250,53433.8
1997,Arizona,71.7,1187416,21780,168408.8
1998,Arizona,76.7,1240977,21780,183060.5
1999,Arizona,80.63,1285004,21780,198699.9
2000,Arizona,86.6,1332442,21780,208439.5
2001,Arizona,88.85,1341726,21780,213166.2
2002,Arizona,88.3,1334303,21780,220696.7
2003,Arizona,90.5,1354531,21780,234065.9
2004,Arizona,97.3,1404380,21780,244317.3
2005,Arizona,97.3,1443203,21780,262326
2006,Arizona,100.5,1491846,21780,274179.4
2007,Arizona,102.4,1498164,21780,283250.7
2008,Arizona,102.6,1465564,21780,280810.1
2009,Arizona,93.9,1380064,21780,257498.5
2010,Arizona,99.5,1434861,21780,260307.1
2011,Arizona,97.7,1476752,21780,266101.5
2012,Arizona,95.5,1445431,21780,271440
2013,Arizona,99.3,1464044,21780,273481.9
2014,Arizona,97.3,1473676,21780,276948.9
2015,Arizona,95,1495858,21780,282577
2016,Arizona,90.9,1524720,21780,291275.2
2017,Arizona,90.5,1531479,21780,303606.1
2018,Arizona,94.1,1542208,21780,314827.5
2019,Arizona,92.5,1556416,21780,325395.3
1997,Arkansas,59.1,1061415,16760,82571.3
1998,Arkansas,60.5,1081796,16760,84570.8
1999,Arkansas,62.73,1100812,16760,89115.2
2000,Arkansas,63.3,1141593,16760,89871.7
2001,Arkansas,62.49,1096056,16760,89789
2002,Arkansas,61.2,1118366,16760,92950.5
2003,Arkansas,62.2,1100644,16760,96944.5
2004,Arkansas,62.5,1091797,16760,101733.6
2005,Arkansas,60.2,1116515,16760,105980
2006,Arkansas,62.1,1113117,16760,108460.6
2007,Arkansas,63.4,1128983,16760,107606.1
2008,Arkansas,64.2,1110210,16760,106536.5
2009,Arkansas,61.5,1041617,16760,102996.6
2010,Arkansas,66.1,1129224,16760,105662
2011,Arkansas,67.5,1131026,16760,107932.5
2012,Arkansas,66.3,1075271,16760,108492.1
2013,Arkansas,68.5,1106095,16760,110752.4
2014,Arkansas,68.9,1121935,16760,111734.5
2015,Arkansas,59.1,1062359,16760,112351
2016,Arkansas,62.1,1053706,16760,112798.1
2017,Arkansas,64.2,1057701,16760,113850.2
2018,Arkansas,70.8,1116757,16760,115885.2
2019,Arkansas,65.1,1096477,16760,117126.2
1997,California,352.5867688,7528267,20660,1378276.5
1998,California,362.6223325,7806390,20660,1468730.8
1999,California,366.1114277,7801882,20660,1574305.9
2000,California,382.2603586,7893262,20660,1696172.4
2001,California,385.5327864,7918586,20660,1692324.1
2002,California,384.4243197,7963303,20660,1722522.4
2003,California,374.6078211,7848513,20660,1789998.5
2004,California,392.6317543,8216796,20660,1850904.5
2005,California,389.5521105,8151775,20660,1926842.1
2006,California,397.7615709,8247048,20660,2002437.4
2007,California,402.5589114,8260963,20660,2041192.2
2008,California,384.0051,8075631,20660,2061638.8
2009,California,370.3333764,7775285,20660,1995439.7
2010,California,356.5880901,7651772,20660,2036015
2011,California,342.6512879,7651650,20660,2063827.5
2012,California,348.7456439,7446386,20660,2113096.4
2013,California,349.7060253,7532398,20660,2179229
2014,California,345.3766022,7445975,20660,2256054.7
2015,California,351.408516,7525491,20660,2357452.9
2016,California,353.4191517,7647955,20660,2427894.6
2017,California,356.4953861,7766193,20660,2538204
2018,California,358.5947178,7865156,20660,2644061.2
2019,California,358.1643733,7790111,20660,2729225.8
1997,Colorado,76.14109017,1138201,17240,184185.3
1998,Colorado,78.41639448,1184705,17240,200679.7
1999,Colorado,80.46567363,1206092,17240,215294.6
2000,Colorado,85.51729295,1268642,17240,231589.8
2001,Colorado,93.2925915,1369867,17240,234979.4
2002,Colorado,91.60688074,1370536,17240,235417.3
2003,Colorado,90.99494499,1372163,17240,237782.3
2004,Colorado,93.54291173,1399562,17240,240747.6
2005,Colorado,95.74352317,1435704,17240,251558.4
2006,Colorado,96.61764496,1451337,17240,257430.2
2007,Colorado,99.33900791,1483849,17240,266887.5
2008,Colorado,97.38610697,1487480,17240,270981.4
2009,Colorado,93.32266789,1465495,17240,264966.3
2010,Colorado,95.88728077,1517105,17240,267858.9
2011,Colorado,92.50555884,1478527,17240,271700.6
2012,Colorado,91.206979,1446115,17240,276823.1
2013,Colorado,92.13721179,1478113,17240,286259.1
2014,Colorado,92.77203103,1494023,17240,298655.3
2015,Colorado,91.30387161,1501006,17240,312409.7
2016,Colorado,88.43397452,1470307,17240,318953.4
2017,Colorado,88.77204752,1477307,17240,329913.3
2018,Colorado,90.06168948,1527222,17240,342733.2
2019,Colorado,91.72734664,1566652,17240,358438.5
1997,Connecticut,42.31413422,811129,25630,190518.9
1998,Connecticut,39.91368636,791157,25630,196391.1
1999,Connecticut,41.17101301,834267,25630,202351.7
2000,Connecticut,42.75012449,844550,25630,216157.6
2001,Connecticut,41.56461698,829136,25630,218135.3
2002,Connecticut,40.04384936,815224,25630,216677.7
2003,Connecticut,42.96284874,894334,25630,219186
2004,Connecticut,44.71446935,907100,25630,233426.5
2005,Connecticut,43.90045495,875720,25630,238549.5
2006,Connecticut,40.91329121,819794,25630,248233.8
2007,Connecticut,40.12833699,842124,25630,257953
2008,Connecticut,37.65258409,774606,25630,257756
2009,Connecticut,35.95734066,766475,25630,244894.7
2010,Connecticut,36.44101452,769858,25630,244354.7
2011,Connecticut,35.03508454,743515,25630,238542.4
2012,Connecticut,34.26813321,728294,25630,240911.9
2013,Connecticut,34.6493926,747012,25630,236050.6
2014,Connecticut,34.97951876,751740,25630,235780.9
2015,Connecticut,36.32904924,756746,25630,242706.5
2016,Connecticut,34.1016231,724686,25630,243286.7
2017,Connecticut,33.85397332,728349,25630,247035.9
2018,Connecticut,37.38424068,756159,25630,249074.8
2019,Connecticut,36.63166173,735517,25630,251568.2
1997,Delaware,16.84753758,274786,22950,45980.1
1998,Delaware,16.19549304,272892,22950,50434.3
1999,Delaware,16.40091868,286222,22950,54236.7
2000,Delaware,16.67926403,305696,22950,56550.2
2001,Delaware,15.99530797,292032,22950,58372.7
2002,Delaware,15.88207705,308594,22950,56534.5
2003,Delaware,16.6083584,303733,22950,57300
2004,Delaware,16.61809294,289192,22950,60069.9
2005,Delaware,17.40244499,299826,22950,59335.1
2006,Delaware,16.23582969,287818,22950,60624.3
2007,Delaware,17.1166682,293726,22950,60477.9
2008,Delaware,16.17951012,291507,22950,58655.7
2009,Delaware,11.92158659,259461,22950,61517.7
2010,Delaware,13.07915648,266384,22950,60577.2
2011,Delaware,13.86588203,285699,22950,62919.3
2012,Delaware,14.58600134,283571,22950,62354.6
2013,Delaware,14.03560903,280901,22950,60235.8
2014,Delaware,13.77629089,281002,22950,64940.1
2015,Delaware,13.9053954,284672,22950,66793.5
2016,Delaware,14.42147713,280937,22950,63001.3
2017,Delaware,13.76647699,280044,22950,60357.5
2018,Delaware,13.98931001,300567,22950,61425.1
2019,Delaware,13.58957516,298616,22950,64143.5
1997,District of Columbia,4.255311904,191093,26190,79827.7
1998,District of Columbia,4.065811075,186974,26190,81214.4
1999,District of Columbia,4.143338486,191690,26190,84756.2
2000,District of Columbia,4.312927694,198048,26190,85355.9
2001,District of Columbia,4.082702536,193476,26190,88440.7
2002,District of Columbia,4.186318466,197752,26190,91141.5
2003,District of Columbia,3.953150452,193758,26190,92921
2004,District of Columbia,4.020628554,201418,26190,97463.5
2005,District of Columbia,3.932855456,200935,26190,99480.7
