Year,State,CO2,Energy,EnergyPrice
1970,Alabama,102.6,1393497,17490
1971,Alabama,98.5,1384940,17490
1972,Alabama,104.9,1478039,17490
1973,Alabama,109.6,1527209,17490
1974,Alabama,108.8,1547657,17490
1975,Alabama,107.8,1515130,17490
1976,Alabama,108.1,1551806,17490
1977,Alabama,111.7,1623443,17490
1978,Alabama,106.6,1638359,17490
1979,Alabama,111.5,1648767,17490
1980,Alabama,107.1,1644874,17490
1981,Alabama,103.7,1604035,17490
1982,Alabama,90.9,1499050,17490
1983,Alabama,89.9,1445946,17490
1984,Alabama,95.3,1544598,17490
1985,Alabama,101.6,1519675,17490
1986,Alabama,101.7,1504733,17490
1987,Alabama,103.7,1582639,17490
1988,Alabama,104.9,1651726,17490
1989,Alabama,109.8,1683173,17490
1990,Alabama,109.6,1659374,17490
1991,Alabama,113.9,1675029,17490
1992,Alabama,120.8,1742421,17490
1993,Alabama,125.3,1789235,17490
1994,Alabama,123.2,1879952,17490
1995,Alabama,131,1955073,17490
1996,Alabama,137.2,1984926,17490
1997,Alabama,134.1,1956297,17490
1998,Alabama,133.5,1997696,17490
1999,Alabama,135.85,2040647,17490
2000,Alabama,142.3,2093922,17490
2001,Alabama,133.31,1898857,17490
2002,Alabama,138.3,1960152,17490
2003,Alabama,139.8,1952741,17490
2004,Alabama,142,2065880,17490
2005,Alabama,143.5,2065572,17490
2006,Alabama,145.8,2083658,17490
2007,Alabama,147.3,2086092,17490
2008,Alabama,139.4,2002980,17490
2009,Alabama,119.8,1800096,17490
2010,Alabama,132.5,1942188,17490
2011,Alabama,129.5,1917001,17490
2012,Alabama,122.6,1890836,17490
2013,Alabama,120.5,1931830,17490
2014,Alabama,122.6,1967782,17490
2015,Alabama,119.2,1917138,17490
2016,Alabama,114,1922727,17490
2017,Alabama,108.6,1904206,17490
2018,Alabama,112.4,1956413,17490
2019,Alabama,106.3,1926332,17490
1970,Alaska,11.3,182039,20250
1971,Alaska,12.6,200962,20250
1972,Alaska,13.4,214377,20250
1973,Alaska,12.5,196965,20250
